,Sample_title,2008-1-S,2008-1-U,2025-1-S,2025-1-U,2025-2-S,2025-2-U,2070-1-S,2070-1-U,2250-1-S,2250-1-U,2262-1-S,2262-1-U,2286-1-S,2286-1-U,2329-1-S,2329-1-U,2349-1-S,2349-1-U,2414-1-S,2414-1-U,2414-2-S,2414-2-U,2448-1-S,2448-1-U,2476-1-S,2476-1-U,2549-1-S,2549-1-U,2561-1-S,2561-1-U,2597-1-S,2597-1-U,2601-1-S,2601-1-U,2628-1-S,2628-1-U,2683-1-S,2683-1-U,2748-1-S,2748-1-U,2748-2-S,2748-2-U,2789-1-S,2789-1-U,2832-1-S,2832-1-U,2859-1-S,2859-1-U,2859-2-S,2859-2-U,2874-1-S,2874-1-U,2874-2-S,2874-2-U,2898-1-S,2898-1-U,2898-2-S,2898-2-U,2963-1-S,2963-1-U,2994-1-S,2994-1-U,2994-2-S,2994-2-U,3053-1-S,3053-1-U,3053-2-S,3053-2-U,3171-1-S,3171-1-U,3171-2-S,3171-2-U,3316-1-S,3316-1-U,3316-2-S,3316-2-U,3325-1-S,3325-1-U,3325-2-S,3325-2-U,3364-1-S,3364-1-U,3364-2-S,3364-2-U,3537-1-S,3537-1-U,3537-2-S,3578-1-S,3578-1-U,3578-2-S,3578-2-U,3808-1-S,3808-1-U,3808-2-S,3808-2-U,3817-1-S,3817-1-U,3817-2-S,3817-2-U,3823-1-S,3823-1-U,3823-2-S,3823-2-U,3924-1-S,3924-1-U,3924-2-S,4086-1-S,4086-2-S,4086-2-U,4260-1-S,4260-1-U,4260-2-S,4260-2-U,4523-1-S,4523-1-U,4523-2-S,4523-2-U,4792-1-S,4792-1-U,4792-2-S,4792-2-U,4834-1-S,4834-1-U,4834-2-S,4834-2-U,4938-1-S,4938-1-U,4938-2-S,4938-2-U,5037-1-S,5037-1-U,5037-2-S,5037-2-U,5045-1-S,5045-1-U,5045-2-S,5045-2-U
28,Sample_platform_id,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301,GPL20301
29,Sample_contact_name,"David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino","David,,Martino"
30,Sample_contact_email,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au,david.martino@telethonkids.org.au
31,Sample_contact_phone,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635,0863191635
32,Sample_contact_institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute,Telethon Kids Institute
33,Sample_contact_address,"Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue","Perth Childrens Hospital, 15 Hospital Avenue"
34,Sample_contact_city,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS,NEDLANDS
35,Sample_contact_state,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia,Western Australia
36,Sample_contact_zip/postal_code,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009,6009
37,Sample_contact_country,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
38,Sample_data_row_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
